,prompt,country,example,metric,gt_answer_avg,type
0,What is the total population for the country Aruba?  Do not answer in a complete sentence - only provide the number!,Aruba,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,106522.333,population
1,What is the total population for the country Africa Eastern and Southern?  Do not answer in a complete sentence - only provide the number!,Africa Eastern and Southern,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,702976466.333,population
2,What is the total population for the country Afghanistan?  Do not answer in a complete sentence - only provide the number!,Afghanistan,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,40066821.0,population
3,What is the total population for the country Angola?  Do not answer in a complete sentence - only provide the number!,Angola,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,34507082.333,population
4,What is the total population for the country Albania?  Do not answer in a complete sentence - only provide the number!,Albania,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2808383.0,population
5,What is the total population for the country Andorra?  Do not answer in a complete sentence - only provide the number!,Andorra,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,78852.667,population
6,What is the total population for the country United Arab Emirates?  Do not answer in a complete sentence - only provide the number!,United Arab Emirates,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,9364521.0,population
7,What is the total population for the country Argentina?  Do not answer in a complete sentence - only provide the number!,Argentina,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,45806780.0,population
8,What is the total population for the country Armenia?  Do not answer in a complete sentence - only provide the number!,Armenia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2792350.333,population
9,What is the total population for the country American Samoa?  Do not answer in a complete sentence - only provide the number!,American Samoa,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,45165.667,population
10,What is the total population for the country Antigua and Barbuda?  Do not answer in a complete sentence - only provide the number!,Antigua and Barbuda,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,93215.333,population
11,What is the total population for the country Australia?  Do not answer in a complete sentence - only provide the number!,Australia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,25774101.0,population
12,What is the total population for the country Austria?  Do not answer in a complete sentence - only provide the number!,Austria,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,8971729.667,population
13,What is the total population for the country Azerbaijan?  Do not answer in a complete sentence - only provide the number!,Azerbaijan,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,10135295.667,population
14,What is the total population for the country Burundi?  Do not answer in a complete sentence - only provide the number!,Burundi,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,12553672.0,population
15,What is the total population for the country Belgium?  Do not answer in a complete sentence - only provide the number!,Belgium,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,11600334.0,population
16,What is the total population for the country Benin?  Do not answer in a complete sentence - only provide the number!,Benin,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,12997627.333,population
17,What is the total population for the country Burkina Faso?  Do not answer in a complete sentence - only provide the number!,Burkina Faso,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,22099023.667,population
18,What is the total population for the country Bangladesh?  Do not answer in a complete sentence - only provide the number!,Bangladesh,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,169321191.333,population
19,What is the total population for the country Bulgaria?  Do not answer in a complete sentence - only provide the number!,Bulgaria,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,6758951.667,population
20,What is the total population for the country Bahrain?  Do not answer in a complete sentence - only provide the number!,Bahrain,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1470989.0,population
21,"What is the total population for the country Bahamas, The?  Do not answer in a complete sentence - only provide the number!","Bahamas, The","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,408120.333,population
22,What is the total population for the country Bosnia and Herzegovina?  Do not answer in a complete sentence - only provide the number!,Bosnia and Herzegovina,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,3274292.0,population
23,What is the total population for the country Belarus?  Do not answer in a complete sentence - only provide the number!,Belarus,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,9297079.333,population
24,What is the total population for the country Belize?  Do not answer in a complete sentence - only provide the number!,Belize,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,400074.667,population
25,What is the total population for the country Bermuda?  Do not answer in a complete sentence - only provide the number!,Bermuda,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,63729.667,population
